Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc,Class
0.58,0.44,0.57,0.13,0.5,0.54,0.22,negative
0.48,0.45,0.59,0.2,0.5,0.58,0.34,negative
0.43,0.39,0.54,0.21,0.5,0.53,0.27,negative
0.42,0.37,0.59,0.2,0.5,0.52,0.29,negative
0.58,0.47,0.54,0.11,0.5,0.51,0.26,negative
0.5,0.34,0.55,0.21,0.5,0.49,0.22,negative
0.61,0.6,0.55,0.21,0.5,0.5,0.25,negative
0.53,0.54,0.43,0.1,0.5,0.57,0.32,negative
0.33,0.55,0.51,0.43,0.5,0.51,0.22,negative
0.53,0.31,0.58,0.39,0.5,0.47,0.37,negative
0.45,0.46,0.55,0.43,0.5,0.55,0.38,negative
0.37,0.32,0.47,0.18,0.5,0.45,0.25,negative
0.48,0.43,0.51,0.32,0.5,0.52,0.43,negative
0.41,0.46,0.59,0.19,0.5,0.58,0.27,negative
0.5,0.52,0.59,0.3,0.5,0.51,0.35,negative
0.33,0.43,0.64,0.16,0.5,0.52,0.52,negative
0.48,0.23,0.57,0.27,0.5,0.48,0.47,negative
0.44,0.52,0.41,0.23,0.5,0.51,0.22,negative
0.3,0.32,0.57,0.19,0.5,0.48,0.55,negative
0.4,0.44,0.49,0.47,0.5,0.49,0.27,negative
0.45,0.51,0.5,0.16,0.5,0.52,1,negative
0.4,0.38,0.53,0.16,0.5,0.52,0.27,negative
0.53,0.51,0.55,0.05,0.5,0.45,0.25,negative
0.62,0.51,0.52,0.42,0.5,0.54,0.27,negative
0.35,0.58,0.54,0.16,0.5,0.51,0.22,negative
0.48,0.54,0.5,0.17,0.5,0.53,0.22,negative
0.47,0.32,0.64,0.3,0.5,0.63,0.22,negative
0.58,0.48,0.51,0.47,0.5,0.55,0.22,negative
0.64,0.6,0.57,0.19,0.5,0.43,0.22,negative
0.37,0.46,0.4,0.27,0.5,0.45,0.22,negative
0.28,0.37,0.61,0.09,0.5,0.52,0.55,negative
0.26,0.36,0.47,0.34,0.5,0.53,0.72,negative
0.51,0.34,0.5,0.19,0.5,0.5,0.22,negative
0.58,0.5,0.5,0.12,0.5,0.48,0.25,negative
0.41,0.39,0.44,0.34,0.5,0.48,0.4,negative
0.36,0.68,0.46,0.16,0.5,0.53,0.28,negative
0.42,0.31,0.5,0.15,0.5,0.53,0.22,negative
0.67,0.71,0.52,0.65,0.5,0.53,0.36,negative
0.49,0.47,0.53,0.16,0.5,0.48,0.27,negative
0.42,0.51,0.5,0.12,0.5,0.52,0.46,negative
0.57,0.51,0.53,0.18,0.5,0.56,0.25,negative
0.31,0.44,0.53,0.23,0.5,0.51,0.32,negative
0.31,0.31,0.56,0.33,0.5,0.52,0.33,negative
0.49,0.31,0.49,0.35,0.5,0.51,0.29,negative
0.38,0.37,0.56,0.21,0.5,0.49,0.22,negative
0.56,0.52,0.48,0.17,0.5,0.46,0.22,negative
0.58,0.56,0.45,0.12,0.5,0.51,0.22,negative
0.53,0.38,0.66,0.25,0.5,0.43,0.22,negative
0.34,0.36,0.54,0.11,0.5,0.36,0.21,negative
0.41,0.45,0.53,0.17,0.5,0.51,0.25,negative
0.31,0.46,0.54,0.52,0.5,0.5,0.34,negative
0.59,0.58,0.56,0.21,0.5,0.54,0.33,negative
0.39,0.28,0.46,0.12,0.5,0.41,0.22,negative
0.56,0.43,0.54,0.16,0.5,0.5,0.22,negative
0.27,0.36,0.6,0.33,0.5,0.37,0.31,negative
0.35,0.4,0.59,0.22,0.5,0.47,0.37,negative
0.42,0.32,0.5,0.21,0.5,0.51,0.22,negative
0.23,0.2,0.53,0.2,0.5,0.44,0.22,negative
0.55,0.54,0.56,0.22,0.5,0.5,0.37,negative
0.36,0.24,0.49,0.16,0.5,0.51,0.22,negative
0.6,0.56,0.47,0.2,0.5,0.5,0.38,negative
0.41,0.24,0.54,0.26,0.5,0.41,0.22,negative
0.43,0.39,0.54,0.14,0.5,0.47,0.22,negative
0.5,0.51,0.52,0.09,0.5,0.48,0.25,negative
0.53,0.61,0.52,0.21,0.5,0.55,0.3,negative
0.46,0.43,0.49,0.79,0.5,0.49,0.63,negative
0.61,0.3,0.59,0.12,0.5,0.49,0.27,negative
0.37,0.53,0.46,0.23,0.5,0.47,0.22,negative
0.35,0.39,0.57,0.11,0.5,0.48,0.22,negative
0.55,0.46,0.46,0.31,0.5,0.58,0.48,negative
0.35,0.6,0.47,0.13,0.5,0.52,0.43,negative
0.33,0.44,0.49,0.08,0.5,0.48,0.49,negative
0.54,0.57,0.52,0.19,0.5,0.59,0.67,negative
0.37,0.43,0.62,0.27,0.5,0.48,0.22,negative
0.56,0.59,0.53,0.16,0.5,0.24,0.42,negative
0.44,0.44,0.49,0.15,0.5,0.46,0.27,negative
0.6,0.6,0.49,0.3,0.5,0.53,0.22,negative
0.35,0.68,0.57,0.4,0.5,0.53,0.36,negative
0.23,0.3,0.58,0.22,0.5,0.48,0.27,negative
0.56,0.54,0.59,0.14,0.5,0.52,0.27,negative
0.31,0.31,0.54,0.18,0.5,0.52,0.29,negative
0.27,0.51,0.47,0.35,0.5,0.49,0.28,negative
0.54,0.56,0.57,0.18,0.5,0.45,0.25,negative
0.17,0.38,0.45,0.09,0.5,0.54,0.27,negative
0.43,0.51,0.54,0.15,0.5,0.45,0.26,negative
0.43,0.54,0.58,0.16,0.5,0.5,0.36,negative
0.34,0.66,0.51,0.16,0.5,0.47,0.33,negative
0.4,0.34,0.52,0.17,0.5,0.47,0.51,negative
0.58,0.48,0.56,0.1,0.5,0.46,0.25,negative
0.58,0.48,0.56,0.12,0.5,0.46,0.25,negative
0.41,0.6,0.53,0.29,0.5,0.47,0.43,negative
0.6,0.48,0.44,0.52,0.5,0.54,0.63,negative
0.47,0.49,0.63,0.17,0.5,0.31,0.26,negative
0.28,0.51,0.55,0.11,0.5,0.46,0.22,negative
0.56,0.57,0.63,0.39,1,0.59,0.4,negative
0.46,0.57,0.57,0.15,0.5,0.52,0.26,negative
0.43,0.42,0.54,0.22,0.5,0.57,0.33,negative
0.44,0.42,0.62,0.14,0.5,0.55,0.37,negative
0.37,0.34,0.58,0.24,0.5,0.44,0.18,negative
0.37,0.34,0.58,0.24,0.5,0.44,0.18,negative
0.39,0.39,0.55,0.52,0.5,0.37,0.16,negative
0.39,0.39,0.55,0.52,0.5,0.37,0.16,negative
0.48,0.57,0.5,0.09,0.5,0.52,0.42,negative
0.61,0.57,0.45,0.21,0.5,0.5,0.42,negative
0.37,0.22,0.64,0.35,0.5,0.47,0.22,negative
0.51,0.48,0.58,0.22,0.5,0.5,0.28,negative
0.49,0.37,0.59,0.17,0.5,0.51,0.22,negative
0.51,0.48,0.58,0.22,0.5,0.5,0.28,negative
0.53,0.53,0.53,0.17,0.5,0.49,0.37,negative
0.29,0.68,0.47,0.26,0.5,0.47,0.37,negative
0.5,0.45,0.49,0.15,0.5,0.55,0.43,negative
0.43,0.39,0.51,0.28,0.5,0.4,0.22,negative
0.34,0.35,0.61,0.19,0.5,0.52,0.25,negative
0.44,0.53,0.52,0.37,0.5,0.5,0.22,negative
0.44,0.53,0.52,0.37,0.5,0.5,0.22,negative
0.32,0.34,0.61,0.17,0.5,0.52,0.32,negative
0.34,0.34,0.61,0.18,0.5,0.52,0.32,negative
0.54,0.45,0.62,0.13,0.5,0.52,0.26,negative
0.56,0.45,0.59,0.14,0.5,0.51,0.26,negative
0.45,0.38,0.59,0.18,0.5,0.44,0.45,negative
0.42,0.32,0.61,0.13,0.5,0.14,0.27,negative
0.5,0.45,0.49,0.3,0.5,0.47,0.4,negative
0.23,0.34,0.41,0.28,0.5,0.5,0.27,negative
0.34,0.31,0.6,0.37,0.5,0.5,0.3,negative
0.59,0.53,0.47,0.26,0.5,0.53,0.31,negative
0.57,0.49,0.48,0.16,0.5,0.51,0.22,negative
0.43,0.32,0.56,0.27,0.5,0.47,0.27,negative
0.52,0.48,0.54,0.28,0.5,0.54,0.22,negative
0.43,0.38,0.51,0.24,0.5,0.46,0.33,negative
0.44,0.41,0.44,0.13,0.5,0.49,0.42,negative
0.53,0.44,0.47,0.22,0.5,0.53,0.22,negative
0.44,0.53,0.43,0.17,0.5,0.54,0.75,negative
0.52,0.49,0.57,0.57,0.5,0.51,0.22,negative
0.62,0.64,0.56,0.2,0.5,0.48,0.33,negative
0.46,0.32,0.58,0.17,0.5,0.61,0.25,negative
0.49,0.62,0.65,0.18,0.5,0.46,0.43,negative
0.33,0.37,0.54,0.28,0.5,0.53,0.27,negative
0.33,0.38,0.53,0.26,0.5,0.52,0.27,negative
0.5,0.49,0.52,0.2,0.5,0.43,0.52,negative
0.18,0.48,0.46,0.12,0.5,0,0.25,negative
0.26,0.38,0.52,0.36,0.5,0.48,0.56,negative
0.53,0.51,0.51,0.11,0.5,0.49,0.41,negative
0.46,0.57,0.52,0.28,0.5,0.52,0.22,negative
0.7,0.53,0.42,0.22,0.5,0.51,0.28,negative
0.55,0.49,0.45,0.18,0.5,0.49,0.22,negative
0.4,0.53,0.61,0.21,0.5,0.48,0.33,negative
0.43,0.83,0.55,0.2,0.5,0.47,0.4,negative
0.55,0.65,0.5,0.28,0.5,0.55,0.22,negative
0.54,0.52,0.54,0.2,0.5,0.55,0.25,negative
0.37,0.31,0.53,0.16,0.5,0.53,0.44,negative
0.43,0.39,0.59,0.13,0.5,0.41,0.43,negative
0.66,0.54,0.49,0.16,0.5,0.54,0.36,negative
0.58,0.46,0.46,0.34,0.5,0.5,0.43,negative
0.39,0.3,0.56,0.12,0.5,0.53,0.38,negative
0.32,0.45,0.44,0.2,0.5,0.55,0.33,negative
0.51,0.6,0.51,0.26,0.5,0.54,0.22,negative
0.49,0.46,0.42,0.46,0.5,0.55,0.22,negative
0.52,0.38,0.62,0.12,0.5,0.41,0.28,negative
0.53,0.4,0.57,0.12,0.5,0.53,0.32,negative
0.51,0.56,0.62,0.24,0.5,0.52,0.51,negative
0.47,0.46,0.55,0.28,0.5,0.44,0.46,negative
0.39,0.35,0.49,0.17,0.5,0.49,0.22,negative
0.58,0.56,0.52,0.25,0.5,0.57,0.35,negative
0.56,0.63,0.52,0.2,0.5,0.34,0.26,negative
0.42,0.28,0.57,0.18,0.5,0.42,0.22,negative
0.36,0.39,0.55,0.26,0.5,0.49,0.22,negative
0.47,0.59,0.37,0.31,0.5,0.51,0.36,negative
0.48,0.62,0.52,0.3,0.5,0.51,0.37,negative
0.48,0.54,0.53,0.6,0.5,0.53,0.31,negative
0.33,0.46,0.53,0.29,0.5,0.5,0.55,negative
0.36,0.44,0.51,0.17,0.5,0.6,0.19,negative
0.39,0.34,0.68,0.3,0.5,0.5,0.29,negative
0.11,0.41,0.67,0.13,0.5,0.45,0.29,negative
0.4,0.53,0.44,0.18,0.5,0.54,0.31,negative
0.36,0.3,0.5,0.19,0.5,0.55,0.3,negative
0.35,0.44,0.54,0.26,0.5,0.52,0.26,negative
0.43,0.28,0.53,0.34,0.5,0.55,0.57,negative
0.33,0.48,0.55,0.16,0.5,0.53,0.75,negative
0.45,0.21,0.49,0.24,0.5,0.46,0.31,negative
0.44,0.34,0.61,0.13,0.5,0.49,0.26,negative
0.87,0.47,0.6,0.47,0.5,0.59,0.22,negative
0.3,0.55,0.58,0.16,0.5,0.61,0.28,negative
0.47,0.47,0.5,0.15,0.5,0.5,0.48,negative
0.51,0.34,0.49,0.16,0.5,0.53,0.21,negative
0.64,0.76,0.51,0.18,0.5,0.46,0.22,negative
0.45,0.41,0.58,0.48,0.5,0.53,0.64,negative
0.9,0.54,0.59,0.2,0.5,0.48,0.22,negative
0.88,0.59,0.54,0.39,0.5,0.41,0.3,negative
0.7,0.51,0.47,0.24,0.5,0.53,0.25,negative
0.25,0.36,0.58,0.3,0.5,0.58,0.31,negative
0.69,0.62,0.49,0,1,0.47,0.22,negative
0.58,0.51,0.56,0.16,0.5,0.34,0.22,negative
0.39,0.42,0.49,0.1,0.5,0.49,0.65,negative
0.31,0.42,0.48,0.17,0.5,0.49,0.53,negative
0.64,0.52,0.5,0.26,0.5,0.51,0.31,negative
0.33,0.38,0.45,0.19,0.5,0.54,0.37,negative
0.61,0.46,0.44,0.47,0.5,0.5,0.37,negative
0.37,0.42,0.6,0.13,0.5,0.51,0.22,negative
0.67,0.46,0.58,0.3,0.5,0.57,0.27,negative
0.41,0.48,0.54,0.24,0.5,0.37,0.51,negative
0.48,0.46,0.58,0.26,0.5,0.44,0.22,negative
0.44,0.42,0.57,0.22,0.5,0.5,0.25,negative
0.53,0.54,0.43,0.18,0.5,0.53,0.31,negative
0.4,0.37,0.54,0.13,0.5,0.48,0.22,negative
0.5,0.42,0.57,0.49,0.5,0.48,0.27,negative
0.45,0.4,0.43,0.22,0.5,0.51,0.48,negative
0.38,0.48,0.51,0.13,0.5,0.5,0.32,negative
0.49,0.48,0.52,0.2,0.5,0.55,0.22,negative
0.36,0.39,0.54,0.16,0.5,0.5,0.28,negative
0.54,0.53,0.48,0.14,0.5,0.49,0.33,negative
0.37,0.48,0.5,0.26,0.5,0.52,0.39,negative
0.25,0.39,0.5,0.23,0.5,0.5,0.28,negative
0.49,0.71,0.54,0.13,0.5,0.58,0.22,negative
0.56,0.5,0.56,0.26,0.5,0.53,0.27,negative
0.41,0.53,0.41,0.15,0.5,0.54,0.25,negative
0.5,0.45,0.53,0.21,0.5,0.28,0.22,negative
0.42,0.28,0.51,0.23,0.5,0.53,0.27,negative
0.33,0.35,0.56,0.19,0.5,0.5,0.22,negative
0.45,0.48,0.56,0.56,0.5,0.47,0.22,negative
0.56,0.59,0.54,0.18,0.5,0.48,0.46,negative
0.33,0.39,0.52,0.09,0.5,0.47,0.28,negative
0.48,0.41,0.54,0.39,0.5,0.51,0.22,negative
0.3,0.3,0.46,0.32,0.5,0.45,0.22,negative
0.38,0.26,0.6,0.1,0.5,0.48,0.44,negative
0.68,0.39,0.5,0.15,0.5,0.48,0.37,negative
0.62,0.41,0.52,0.17,0.5,0.48,0.22,negative
0.52,0.37,0.48,0.13,0.5,0.55,0.22,negative
0.32,0.48,0.49,0.17,0.5,0.47,0.22,negative
0.34,0.35,0.58,0.2,0.5,0.46,0.32,negative
0.33,0.21,0.53,0.15,1,0.52,0.5,negative
0.49,0.45,0.57,0.24,0.5,0.47,0.38,negative
0.4,0.28,0.48,0.06,0.5,0.49,0.42,negative
0.51,0.39,0.56,0.25,0.5,0.51,0.33,negative
0.37,0.44,0.51,0.56,0.5,0.5,0.38,negative
0.29,0.4,0.41,0.48,0.5,0.53,0.3,negative
0.24,0.41,0.47,0.16,0.5,0.51,0.38,negative
0.61,0.39,0.53,0.14,0.5,0.43,0.26,negative
0.39,0.16,0.59,0.08,0.5,0.51,0.27,negative
0.33,0.28,0.5,0.4,0.5,0.46,0.61,negative
0.51,0.55,0.56,0.18,0.5,0.5,0.38,negative
0.39,0.44,0.54,0.24,0.5,0.51,0.49,negative
0.43,0.48,0.53,0.18,0.5,0.46,0.22,negative
0.47,0.43,0.48,0.16,0.5,0.46,0.27,negative
0.52,0.5,0.51,0.2,0.5,0.51,0.22,negative
0.33,0.28,0.52,0.15,0.5,0.51,0.86,negative
0.36,0.48,0.5,0.13,0.5,0.49,0.6,negative
0.45,0.54,0.49,0.29,0.5,0.49,0.25,negative
0.55,0.59,0.53,0.15,0.5,0.49,0.22,negative
0.31,0.39,0.55,0.28,0.5,0.46,0.31,negative
0.43,0.41,0.51,0.34,0.5,0.49,0.28,negative
0.64,0.5,0.53,0.1,0.5,0.51,0.22,negative
